"","Var1","Var2","value"
"314","TNFRSF11A","MERTK",-0.198042569438982
"315","IGLC2","MERTK",-0.218055007967542
"316","CST5","MERTK",-0.247658469903626
"317","OSM","MERTK",-0.188066414951638
"318","TNFB","MERTK",-0.235124314036839
"319","TGM2","MERTK",-0.288945129345368
"320","CXCL9","MERTK",-0.22547902038939
"321","VEGFD","MERTK",0.439651968524707
"322","TGF-alpha","MERTK",-0.187781689164669
"323","PAM","MERTK",-0.224935980771918
"324","CFHR5","MERTK",0.496569676649632
"325","TNC","MERTK",-0.216155600748708
"326","IDUA","TM",0.530371696665906
"327","GLO1","TM",0.431597710757924
"328","PTX3","TM",0.483169387168505
"329","THBS2","TM",0.537936667038326
"330","HO-1","TM",0.43998118967712
"331","XCL1","TM",0.474628826791648
"332","CD40-L","TM",-0.327542894984416
"333","AOC3","TM",0.592551221778729
"334","C2","TM",0.443961364453823
"335","IGLC2","TM",-0.423111360612958
"336","hOSCAR","TM",-0.404798724645337
"337","TRAIL","TM",-0.235084840364995
"338","IL-10RB","TM",0.446353073501825
"339","IFN-gamma","TM",0.427595890905831
"340","OSM","TM",0.618618626624015
"341","IL8","TM",-0.271751688197219
"342","CXCL10","TM",0.515263966471891
"343","CSF-1","TM",-0.311809610245032
"344","PD-L2","TM",0.543583621217446
"345","CXCL9","TM",0.558065999701484
"346","SCF","TM",0.516629222609101
"347","NEMO","TM",0.623058564742771
"348","HSP 27","TM",0.518648647438284
"349","AXIN1","TM",0.526008075944473
"350","CD59","TM",0.445034449073327
"351","IL7R","TM",0.476597552303134
"352","CDH1","TM",0.512177034644098
"353","NOTCH1","TM",0.450688210625765
"354","SELL","TM",-0.34888400454308
"355","TIE1","TM",0.490538691900383
"356","FCGR2A","TM",0.529443887710244
"357","CST3","TM",0.470196792469389
"358","IDUA","SRC",0.432288552718754
"359","OSMR","SRC",0.428120336956098
"360","ANGPT1","SRC",0.480389162570099
"361","HO-1","SRC",0.456813924391915
"362","AOC3","SRC",0.441275699720168
"363","C2","SRC",0.612924354862536
"364","PIgR","SRC",-0.280824676595641
"365","IGLC2","SRC",-0.245408651728843
"366","CXCL6","SRC",-0.204371629995019
"367","IL7","SRC",0.512066879354549
"368","CX3CL1","SRC",-0.191642304120166
"369","CSF-1","SRC",-0.307719374880873
"370","CCL28","SRC",-0.269426187428729
"371","NEMO","SRC",0.470369390740559
"372","CD8A","SRC",0.493469151131943
"373","GP1BA","SRC",0.46705862824209
"374","MET","SRC",-0.307376282396184
"375","COMP","SRC",0.534921442701604
"376","GLO1","FS",0.43687629294204
"377","IGLC2","FS",-0.208564935555583
"378","EN-RAGE","FS",0.429218133139954
"379","CXCL1","FS",-0.242623855822481
"380","TGM2","FS",-0.195973401898921
"381","uPA","FS",-0.219289382891505
"382","GP1BA","FS",0.47458137008659
"383","LYVE1","FS",0.432825378286793
"384","FCGR2A","FS",0.464707011374355
"385","TRAIL","KIM1",-0.183608083488286
"386","MMP-10","KIM1",-0.342641376457887
"387","CCL25","KIM1",-0.254041401572798
"388","MCP-4","KIM1",-0.203924704224538
"389","TGM2","KIM1",-0.193014860452571
"390","TNF","KIM1",0.576401563884755
"391","CD8A","KIM1",0.441267775414537
"392","AGRP","KIM1",-0.277967701336169
"393","CXCL11","KIM1",-0.216831988268393
"394","CD59","KIM1",0.450933169808339
"395","CNDP1","KIM1",-0.251562947591854
"396","SERPINA7","KIM1",-0.186575735773766
"397","PCOLCE","KIM1",0.468299664917947
"398","SCF","FGF-21",0.524774769318405
"399","PRSS8","FGF-21",0.714982127319355
"400","IL16","FGF-21",0.766241090336193
"401","SPON2","FGF-21",0.632907115610301
"402","PSGL-1","FGF-21",0.666280014203689
"403","TIE2","FGF-21",0.43813778199384
"404","PAR-1","FGF-21",0.521221814754004
"405","C2","FGF-21",0.488178541647674
"406","LPL","FGF-21",0.601574656437281
"407","CXCL6","FGF-21",-0.237901844294365
"408","CD5","FGF-21",-0.230558259477878
"409","TNFSF14","FGF-21",0.493359010132236
"410","AGRP","FGF-21",0.428708480849608
"411","CTSL1","FGF-21",0.955087496315663
"412","CA3","FGF-21",0.541947415503983
"413","CNDP1","FGF-21",0.444095935037437
"414","SERPINA7","FGF-21",0.462508264496624
"415","VCAM1","FGF-21",0.5214919131955
"416","MET","FGF-21",-0.304581025858941
"417","FCGR3B","FGF-21",0.439800066333868
"418","PTPRS","FGF-21",0.461553620213743
"419","CCL14","FGF-21",0.443212589893044
"420","PRSS8","GH",-0.293171191355671
"421","IDUA","GH",0.755694140139849
"422","DCN","GH",0.512987515644227
"423","Dkk-1","GH",0.791739796239715
"424","GLO1","GH",-0.195472124666741
"425","THBS2","GH",0.53809232123428
"426","HO-1","GH",0.721377772012259
"427","PRELP","GH",0.707847806472855
"428","CCL17","GH",-0.289861054521912
"429","XCL1","GH",0.527085339840208
"430","CD40-L","GH",-0.192704655582891
"431","ITGB1BP2","GH",0.482849342441173
"432","hOSCAR","GH",-0.28701344706431
"433","HB-EGF","GH",-0.405305994905086
"434","TRAIL","GH",-0.285779216353024
"435","MMP-10","GH",-0.186419272938157
"436","CCL25","GH",-0.297700369676151
"437","VEGFA","GH",-0.221373017671898
"438","CXCL6","GH",-0.280071626328136
"439","4E-BP1","GH",-0.342002687403964
"440","TNFRSF13B","GH",0.430050555532163
"441","CX3CL1","GH",-0.354672874480152
"442","CXCL1","GH",0.466167186685148
"443","CCL28","GH",-0.480800449568592
"444","CD5","GH",-0.203364777582628
"445","FGF-21","GH",-0.416846582526898
"446","VEGFD","GH",-0.211106121958857
"447","FABP2","GH",-0.321165825501231
"448","uPA","GH",0.436588312169941
"449","TNFSF14","GH",-0.243104939555182
"450","CXCL11","GH",-0.348540267815081
"451","CCL20","GH",-0.236300275548122
"452","FGF-19","GH",-0.186043230036552
"453","TGF-alpha","GH",-0.270624838246201
"454","AXIN1","GH",0.593968089709965
"455","ADA","GH",-0.312669051970269
"456","IL-18R1","GH",-0.282610426853007
"457","LAP TGF-beta-1","GH",0.469531769877157
"458","CD59","GH",0.626101912359467
"459","PRSS2","GH",-0.321542422307781
"460","ICAM3","GH",0.562097803874055
"461","CDH1","GH",0.499848268609559
"462","CNDP1","GH",-0.236609654554825
"463","NRP1","GH",-0.291959717342174
"464","ENG","GH",-0.333148929470511
"465","SERPINA7","GH",-0.297815576271756
"466","NID1","GH",-0.223793048601487
"467","CR2","GH",-0.237098378000133
"468","IGFBP6","GH",0.633715826053768
"469","SELL","GH",-0.251745997883502
"470","MET","GH",-0.515479549680704
"471","FCGR3B","GH",-0.224007850108564
"472","CCL14","GH",-0.279832810410356
"473","PCOLCE","GH",-0.19074136652474
"474","ICAM1","GH",-0.202464514328923
"475","PRSS8","SCF",0.512947639290182
"476","SPON2","SCF",0.582866857004577
"477","PSGL-1","SCF",0.503532774746005
"478","TIE2","SCF",0.557856408785093
"479","C2","SCF",0.441327435220859
"480","LPL","SCF",0.6287429283053
"481","hOSCAR","SCF",-0.183423371777725
"482","HB-EGF","SCF",-0.187465621509561
"483","CXCL6","SCF",-0.217550370458174
"484","CD5","SCF",-0.205353372441362
"485","VEGFD","SCF",-0.254327678175871
"486","uPA","SCF",0.440123865568078
"487","TNFSF14","SCF",0.51352796835245
"488","CTSL1","SCF",0.510965438546978
"489","CCL19","SCF",-0.222987390266631
"490","CA3","SCF",0.494525353344883
"491","VCAM1","SCF",0.543751532903875
"492","CD46","SCF",-0.260008319736047
"493","MET","SCF",-0.325948776073122
"494","IL16","PRSS8",0.688274708834201
"495","IDUA","PRSS8",-0.190682697455487
"496","DCN","PRSS8",-0.224968640154912
"497","Dkk-1","PRSS8",-0.226576506312094
"498","SPON2","PRSS8",0.632189978058073
"499","PSGL-1","PRSS8",0.685730076034244
"500","PAR-1","PRSS8",0.547104751634454
"501","LPL","PRSS8",0.70079406388274
"502","STAMBP","PRSS8",-0.190888761386762
"503","MCP-1","PRSS8",-0.231110023196767
"504","TNFSF14","PRSS8",0.771362616639365
"505","OPG","PRSS8",0.468908741991441
"506","AGRP","PRSS8",0.493505715713129
"507","CXCL11","PRSS8",0.672159696702893
"508","CCL20","PRSS8",0.435554302421219
"509","AXIN1","PRSS8",-0.246058829117132
"510","CTSL1","PRSS8",0.781914866488725
"511","ADA","PRSS8",0.516135252808613
"512","LAP TGF-beta-1","PRSS8",-0.211046653976911
"513","CA3","PRSS8",0.71122393264681
"514","ICAM3","PRSS8",-0.233646691012223
"515","CNDP1","PRSS8",0.52146779494068
