"","Var1","Var2","value"
"445","NEMO","TRAIL-R2",0.464394857993449
"446","CD8A","TRAIL-R2",-0.156686597454388
"447","PARP-1","TRAIL-R2",-0.196163081813977
"448","TNFSF14","TRAIL-R2",0.462608064116635
"449","OPG","TRAIL-R2",-0.0568234476244351
"450","AGRP","TRAIL-R2",0.445563869915269
"451","PD-L1","TRAIL-R2",0.407998276477184
"452","CCL20","TRAIL-R2",0.386767233181266
"453","FGF-19","TRAIL-R2",0.406945496414755
"454","CCL19","TRAIL-R2",-0.117372265395144
"455","ADA","TRAIL-R2",0.548148914084457
"456","IL-18R1","TRAIL-R2",-0.0899430321708009
"457","MEGF9","TRAIL-R2",0.455264162992373
"458","PRSS2","TRAIL-R2",-0.0302511490384776
"459","CA3","TRAIL-R2",0.47720796497359
"460","IL7R","TRAIL-R2",0.392229371950845
"461","F11","TRAIL-R2",-0.0886192189236831
"462","ICAM3","TRAIL-R2",-0.0257252691341683
"463","FCN2","TRAIL-R2",0.500715473706688
"464","THBS4","TRAIL-R2",-0.0293722612548179
"465","VCAM1","TRAIL-R2",0.485790973278634
"466","FCGR3B","TRAIL-R2",0.523679929903438
"467","MBL2","TRAIL-R2",0.387374650200639
"468","TGFBI","TRAIL-R2",0.488494368950433
"469","CST3","TRAIL-R2",-0.0566277231450979
"470","BMP-6","Gal-9",0.720890263510666
"471","VASN","Gal-9",0.408870918720524
"472","GAS6","Gal-9",0.495628753122207
"473","MERTK","Gal-9",-0.109338953939197
"474","TM","Gal-9",0.482610501824166
"475","SRC","Gal-9",0.503424516210568
"476","GH","Gal-9",0.413939764751606
"477","SCF","Gal-9",0.418999921488244
"478","IL16","Gal-9",0.404718506305102
"479","AMBP","Gal-9",0.495069570267874
"480","LILRB5","Gal-9",0.714692499356087
"481","GLO1","Gal-9",0.467173008628792
"482","PTX3","Gal-9",0.413536461999325
"483","SPON2","Gal-9",0.447486430467225
"484","APOM","Gal-9",0.651575925177012
"485","HO-1","Gal-9",0.578018936924473
"486","PRELP","Gal-9",0.457670145188959
"487","PRSS27","Gal-9",0.487508293515208
"488","CXCL1","Gal-9",0.593435936530005
"489","XCL1","Gal-9",0.396828285845115
"490","SERPINA12","Gal-9",0.49999745377867
"491","IgG Fc receptor II-b","Gal-9",0.471575535217931
"492","MMP7","Gal-9",0.672958635225387
"493","C2","Gal-9",0.595445721619993
"494","RAGE","Gal-9",0.477154617078712
"495","hOSCAR","Gal-9",0.54765827978042
"496","TRANCE","Gal-9",0.444828730864589
"497","CXCL5","Gal-9",0.400817788726141
"498","LEP","Gal-9",-0.0333162842004422
"499","IL7","Gal-9",0.46005417333178
"500","THPO","Gal-9",-0.0526825786859404
"501","CCL23","Gal-9",0.493990125926348
"502","NEMO","Gal-9",0.58329886232842
"503","uPA","Gal-9",0.45397214468186
"504","CD8A","Gal-9",-0.260052114163792
"505","PARP-1","Gal-9",-0.352322076610853
"506","CASP-8","Gal-9",0.414606044345484
"507","TNFSF14","Gal-9",0.445044956116533
"508","OPG","Gal-9",-0.0901808304738416
"509","PD-L1","Gal-9",0.893545827492655
"510","CCL20","Gal-9",0.456396287612288
"511","FGF-19","Gal-9",0.464482649966184
"512","ADA","Gal-9",0.54002238233919
"513","CD59","Gal-9",0.496561787958996
"514","PROC","Gal-9",-0.142699695605122
"515","MEGF9","Gal-9",0.51011765849342
"516","PRSS2","Gal-9",-0.0883479155211385
"517","CA3","Gal-9",0.521793890199691
"518","IL7R","Gal-9",0.464617468658023
"519","NCAM1","Gal-9",0.434272840564956
"520","FCN2","Gal-9",0.445047113827289
"521","ENG","Gal-9",-0.136590728479067
"522","TIMP1","Gal-9",0.468664790201971
"523","NID1","Gal-9",-0.22048354868273
"524","VCAM1","Gal-9",0.444538967689934
"525","GP1BA","Gal-9",0.464166596528006
"526","EFEMP1","Gal-9",0.437232830480165
"527","FCGR3B","Gal-9",0.638889666824534
"528","COMP","Gal-9",0.420795062934295
"529","PTPRS","Gal-9",-0.0849206926985735
"530","TGFBI","Gal-9",0.488607691588635
"531","PCOLCE","Gal-9",0.450049394616927
"532","TIE1","Gal-9",0.437377261084434
"533","LYVE1","Gal-9",0.499408511047544
"534","FCGR2A","Gal-9",0.576391193611539
"535","MERTK","BMP-6",-0.0329209300629638
"536","TM","BMP-6",0.501958809189848
"537","SRC","BMP-6",0.392649809535589
"538","GH","BMP-6",0.387160939109806
"539","SCF","BMP-6",0.455298619449529
"540","IL16","BMP-6",0.418528217377207
"541","IDUA","BMP-6",0.404734872013105
"542","AMBP","BMP-6",0.428096465075133
"543","LILRB5","BMP-6",0.7115712916109
"544","GLO1","BMP-6",0.386666691944114
"545","THBS2","BMP-6",0.387906191428872
"546","SPON2","BMP-6",0.401792932400703
"547","APOM","BMP-6",0.495521524722227
"548","PSGL-1","BMP-6",0.495486750178005
"549","HO-1","BMP-6",0.526942140508951
"550","PRELP","BMP-6",0.48913768326151
"551","PRSS27","BMP-6",0.583108922148652
"552","CXCL1","BMP-6",0.535291553420977
"553","SERPINA12","BMP-6",0.468844103945622
"554","MMP7","BMP-6",0.611330811150179
"555","C2","BMP-6",0.586291520613192
"556","GIF","BMP-6",0.393844653840622
"557","MMP12","BMP-6",-0.0359986224054848
"558","CCL4","BMP-6",-0.056133392011126
"559","IL7","BMP-6",0.511678869430391
"560","CCL23","BMP-6",0.457167554844116
"561","NEMO","BMP-6",0.567226928940129
"562","CD8A","BMP-6",-0.123366704247428
"563","PARP-1","BMP-6",-0.195538014160335
"564","TNFSF14","BMP-6",0.469334321608669
"565","OPG","BMP-6",-0.0265153119947888
"566","AGRP","BMP-6",0.441702488026488
"567","PD-L1","BMP-6",0.865245414904879
"568","CXCL11","BMP-6",0.388039254572286
"569","CCL20","BMP-6",0.421239639330419
"570","FGF-19","BMP-6",0.433936801217364
"571","CCL19","BMP-6",-0.12459953370741
"572","ADA","BMP-6",0.569981960832041
"573","CD59","BMP-6",0.405048575103441
"574","PROC","BMP-6",-0.113543742860313
"575","MEGF9","BMP-6",0.461426029479666
"576","CA3","BMP-6",0.553190742545876
"577","IL7R","BMP-6",0.400198459183492
"578","NCAM1","BMP-6",0.430519530827058
"579","FCN2","BMP-6",0.475628110920478
"580","ENG","BMP-6",-0.0334997179238455
"581","VCAM1","BMP-6",0.43879150402032
"582","MET","BMP-6",-0.0424640688946021
"583","FCGR3B","BMP-6",0.608902016453231
"584","PTPRS","BMP-6",-0.0216123309610294
"585","TGFBI","BMP-6",0.482280012926355
"586","FCGR2A","BMP-6",0.41430379756687
"587","CST3","BMP-6",-0.0388600230832861
"588","GAS6","VASN",0.85923216285362
"589","MERTK","VASN",-0.0335117253447827
"590","FGF-21","VASN",0.411858970063366
"591","SCF","VASN",0.415681242523268
"592","SPON2","VASN",0.5723817203137
"593","PSGL-1","VASN",0.505681684272116
"594","PRSS27","VASN",0.395992549857538
"595","XCL1","VASN",0.710554238751341
"596","CD40-L","VASN",-0.0559518931108128
"597","PAR-1","VASN",0.720033820876223
"598","MMP7","VASN",0.574913461336867
"599","LPL","VASN",0.684857860585679
"600","RAGE","VASN",0.756989101144501
"601","CD6","VASN",0.446483613047003
"602","CXCL5","VASN",0.776219224434012
"603","LEP","VASN",-0.0490477897962995
"604","IL7","VASN",0.511091248935052
"605","NEMO","VASN",0.506749854409629
"606","PARP-1","VASN",-0.0755934814226329
